family,global_index,case_key,slice_index,risk_score,source_dice,tent1_dice,delta_dice,state,harmful,beneficial,source_tp,source_fp,source_fn,tent_tp,tent_fp,tent_fn
UNet,60,Case01,13,0.209170804732419,0.9274580659079877,0.7804671426842551,-0.14699092322373264,HARM,1,0,8598,41,1304,6449,175,3453
UNet,61,Case01,14,0.4474193557777694,0.8532945844743755,0.6957888120678818,-0.15750577240649366,HARM,1,0,7634,205,2420,5535,321,4519
UNet,62,Case01,15,0.7958596879635028,0.8829268292682927,0.7428818693206404,-0.14004495994765231,HARM,1,0,6335,1306,374,4292,554,2417
UNet,63,Case01,16,0.3467759721074918,0.908167444908659,0.672823440517169,-0.23534400439148995,HARM,1,0,5543,120,1001,4007,1360,2537
UNet,64,Case01,17,0.4721303705600154,0.8783009115684616,0.3715531795160383,-0.5067477320524233,HARM,1,0,4673,218,1077,2641,5825,3109
UNet,65,Case01,18,0.7911891269381988,0.847870182555781,0.25189588030334087,-0.5959743022524401,HARM,1,0,4180,262,1238,1229,3111,4189
UNet,66,Case01,19,0.8935468764609203,0.8165120593692022,0.4411829618185831,-0.37532909755061916,HARM,1,0,4401,1621,357,1999,2305,2759
UNet,67,Case01,20,0.8600204130895438,0.0,0.0,0.0,NEUTRAL,0,0,0,2349,0,0,2629,0
UNet,68,Case01,21,0.5565749614325907,0.0,0.0,0.0,NEUTRAL,0,0,0,1329,0,0,1238,0
UNet,69,Case01,22,0.3526786668874826,0.0,0.0,0.0,NEUTRAL,0,0,0,1175,0,0,4245,0
UNet,70,Case01,23,0.4677492475344051,0.0,0.0,0.0,NEUTRAL,0,0,0,556,0,0,4487,0
UNet,71,Case01,24,0.595452109979162,0.0,0.0,0.0,NEUTRAL,0,0,0,5533,0,0,6597,0
UNet,72,Case01,25,0.8036024256484161,0.0,0.0,0.0,NEUTRAL,0,0,0,2208,0,0,6818,0
UNet,73,Case01,26,0.5011703317922679,0.0,0.0,0.0,NEUTRAL,0,0,0,7231,0,0,11638,0
UNet,74,Case01,27,0.5809202274108587,0.0,0.0,0.0,NEUTRAL,0,0,0,2544,0,0,9400,0
UNet,75,Case01,28,0.4677013162672414,0.0,0.0,0.0,NEUTRAL,0,0,0,4615,0,0,8382,0
UNet,76,Case02,0,0.719490407980515,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,2866,0
UNet,77,Case02,1,0.7140413312860879,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,3168,0
UNet,78,Case02,2,0.649798126191569,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,3939,0
UNet,79,Case02,3,0.6455547863113638,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,4432,0
UNet,80,Case02,4,0.6642936190293698,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,4685,0
UNet,81,Case02,5,0.6451735565906992,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,5320,0
UNet,82,Case02,6,0.6392433988523463,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,5522,0
UNet,83,Case02,7,0.6835231009371845,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,6057,0
UNet,84,Case02,8,0.5053507192537261,0.0,0.0,0.0,NEUTRAL,0,0,0,469,0,0,4195,0
UNet,85,Case02,9,0.510246622368092,0.0,0.0,0.0,NEUTRAL,0,0,0,637,0,0,3350,0
UNet,86,Case02,10,0.4693248029565192,0.0,0.0,0.0,NEUTRAL,0,0,0,509,0,0,3451,0
UNet,87,Case02,11,0.404909373598775,0.0,0.0,0.0,NEUTRAL,0,0,0,412,0,0,3917,0
UNet,88,Case02,12,0.6750795402442751,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,3536,0
UNet,89,Case02,13,0.6826027071102944,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,4050,0
UNet,90,Case02,14,0.7675091286040393,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,3972,0
UNet,91,Case02,15,0.7243743280197517,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,3909,0
UNet,92,Case02,16,0.7050183016391213,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,5565,0
UNet,93,Case02,17,0.4652854784896816,0.43415514131088395,0.29118773946360155,-0.1429674018472824,HARM,1,0,361,431,510,760,3589,111
UNet,94,Case02,18,0.3421288774744733,0.6986301369863014,0.33172403052484034,-0.36690610646146105,HARM,1,0,969,693,143,1065,4244,47
UNet,95,Case02,19,0.4594195766080111,0.5352660420717695,0.4752801582069875,-0.05998588386478204,HARM,1,0,1514,2562,67,1442,3045,139
UNet,96,Case02,20,0.5604852083979965,0.7620457161651044,0.5516146109052409,-0.21043110525986353,HARM,1,0,2317,1231,216,1563,1571,970
UNet,97,Case02,21,0.2434874839653036,0.9176672384219554,0.7836806574699149,-0.13398658095204052,HARM,1,0,3210,242,334,2670,600,874
UNet,98,Case02,22,0.1573861769938978,0.9215662504546006,0.8796174536760311,-0.04194879677856955,HARM,1,0,3801,340,307,3679,578,429
UNet,99,Case02,23,0.19836549447378,0.9532092920841132,0.8752971687918738,-0.0779121232922394,HARM,1,0,4329,72,353,4050,522,632
UNet,100,Case02,24,0.1630849873274071,0.8662063012516185,0.4800708591674048,-0.3861354420842137,HARM,1,0,4014,49,1191,1897,801,3308
UNet,101,Case02,25,0.1619764517193089,0.908437343984024,0.5192837465564738,-0.3891535974275502,HARM,1,0,4549,79,838,2262,1063,3125
UNet,102,Case02,26,0.2576558061963629,0.9018588076663777,0.4083434499503366,-0.4935153577160411,HARM,1,0,4682,0,1019,1850,1510,3851
UNet,103,Case02,27,0.2267372656963877,0.863191215748343,0.5916937950083851,-0.27149742073995786,HARM,1,0,4363,8,1375,2999,1400,2739
UNet,104,Case02,28,0.2401507899875593,0.7240013579268982,0.3627947034126386,-0.36120665451425965,HARM,1,0,3199,0,2439,1685,1966,3953
UNet,105,Case02,29,0.5397032267165234,0.8696505692972124,0.22522750252780585,-0.6444230667694065,HARM,1,0,4430,4,1324,891,1267,4863
UNet,106,Case02,30,0.7938017291457785,0.3627402661409561,0.06455469216975493,-0.29818557397120116,HARM,1,0,1472,1126,4046,216,958,5302
UNet,107,Case02,31,0.6582209233055436,0.21858394370242712,0.030174563591022444,-0.18840938011140468,HARM,1,0,761,255,5186,121,1952,5826
UNet,108,Case02,32,0.2841830643082473,0.0,0.0,0.0,NEUTRAL,0,0,0,303,5767,0,2229,5767
UNet,109,Case02,33,0.4678783296536948,0.4646401008032761,0.0,-0.4646401008032761,HARM,1,0,1475,0,3399,0,1278,4874
UNet,110,Case02,34,0.947711691553011,0.5189775367931836,0.454320987654321,-0.0646565491388626,HARM,1,0,2010,2349,1377,1196,682,2191
UNet,111,Case02,35,0.9243620195710552,0.37160667605067366,0.5028322440087146,0.13122556795804097,BENEFIT,0,1,924,1328,1797,1154,715,1567
UNet,112,Case02,36,0.7760196787743108,0.009734181954324224,0.5856873822975518,0.5759532003432276,BENEFIT,0,1,13,1808,837,622,652,228
UNet,113,Case02,37,0.7637829321300756,0.0,0.0,0.0,NEUTRAL,0,0,0,2637,0,0,984,0
UNet,114,Case02,38,0.9728867520973348,0.0,0.0,0.0,NEUTRAL,0,0,0,3280,0,0,1368,0
UNet,115,Case02,39,0.9509654217345046,0.0,0.0,0.0,NEUTRAL,0,0,0,3057,0,0,207,0
UNet,116,Case02,40,0.988524902649408,0.0,0.0,0.0,NEUTRAL,0,0,0,3735,0,0,440,0
UNet,117,Case02,41,0.9829111064537022,0.0,0.0,0.0,NEUTRAL,0,0,0,2312,0,0,145,0
UNet,118,Case02,42,0.471349731032217,0.0,0.0,0.0,NEUTRAL,0,0,0,192,0,0,701,0
UNet,119,Case02,43,0.5975657055857382,0.0,0.0,0.0,NEUTRAL,0,0,0,263,0,0,705,0
UNet,120,Case02,44,0.7916150890609787,0.0,0.0,0.0,NEUTRAL,0,0,0,1444,0,0,1419,0
UNet,121,Case02,45,0.8019563342773927,0.0,0.0,0.0,NEUTRAL,0,0,0,1555,0,0,1143,0
UNet,122,Case02,46,0.786513204872988,0.0,0.0,0.0,NEUTRAL,0,0,0,6025,0,0,3775,0
UNet,123,Case02,47,0.6196459038734191,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,526,0
UNet,124,Case02,48,0.6145452979567202,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,1690,0
UNet,125,Case02,49,0.6675982541494504,0.0,0.0,0.0,NEUTRAL,0,0,0,14,0,0,5001,0
UNet,126,Case02,50,0.6605516083449516,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,2654,0
UNet,127,Case02,51,0.6573128133543236,1.0,0.0,-1.0,HARM,1,0,0,0,0,0,4863,0
UNet,128,Case02,52,0.5266557343671825,0.0,0.0,0.0,NEUTRAL,0,0,0,459,0,0,3423,0
UNet,129,Case02,53,0.8362955059801697,0.0,0.0,0.0,NEUTRAL,0,0,0,2089,0,0,4730,0
UNet,130,Case03,0,0.9732972382364786,0.0,0.0,0.0,NEUTRAL,0,0,0,5169,0,0,4985,0
UNet,131,Case03,1,0.9914614914744542,0.0,0.0,0.0,NEUTRAL,0,0,0,4587,0,0,5138,0
UNet,132,Case03,2,0.9755131599105336,0.0,0.0,0.0,NEUTRAL,0,0,0,4058,0,0,4416,0
UNet,133,Case03,3,0.6551312563147187,0.0,0.0,0.0,NEUTRAL,0,0,0,982,0,0,5911,0
UNet,134,Case03,4,0.3776787611500845,0.0,0.0,0.0,NEUTRAL,0,0,0,1385,0,0,4684,0
UNet,135,Case03,5,0.2202361281892676,0.0,0.0,0.0,NEUTRAL,0,0,0,606,968,0,4899,968
UNet,136,Case03,6,0.5110652220119577,0.0,0.0,0.0,NEUTRAL,0,0,0,1936,1402,0,4208,1402
UNet,137,Case03,7,0.9636215707451388,0.2926496658939043,0.19349939246658565,-0.09915027342731864,HARM,1,0,1073,4466,721,637,4153,1157
UNet,138,Case03,8,0.8985837238805373,0.6803519061583577,0.4611661673196589,-0.2191857388386988,HARM,1,0,2088,1637,325,2001,4264,412
UNet,139,Case03,9,0.5298514142294742,0.8541987080898186,0.6132532902332025,-0.24094541785661605,HARM,1,0,2777,726,222,2656,3007,343
UNet,140,Case03,10,0.8495413255852392,0.7872052046625102,0.7231509625126646,-0.06405424214984556,HARM,1,0,2904,1529,41,2855,2096,90
UNet,141,Case03,11,0.3873517420872769,0.8788604563216942,0.7041510199939105,-0.17470943632778368,HARM,1,0,3486,830,131,3469,2767,148
UNet,142,Case03,12,0.2253243354679934,0.942079553384508,0.7183946488294315,-0.2236849045550765,HARM,1,0,4050,406,92,3759,2564,383
UNet,143,Case03,13,0.2984942299875303,0.9486139283299526,0.7774405169881523,-0.1711734113418003,HARM,1,0,4209,289,167,3970,1867,406
UNet,144,Case03,14,0.7166715762851362,0.8721465660821005,0.8814468846268508,0.00930031854475033,NEUTRAL,0,0,4451,1252,53,4435,1124,69
UNet,145,Case03,15,0.846407398466992,0.7658058771148709,0.6742720382927803,-0.09153383882209065,HARM,1,0,4300,2442,188,4226,3821,262
UNet,146,Case03,16,0.9500084093211436,0.6557327258921792,0.5328335415798973,-0.12289918431228197,HARM,1,0,4318,4125,409,3838,5841,889
UNet,147,Case03,17,0.7928716832498257,0.639176864915426,0.3202416918429003,-0.3189351730725257,HARM,1,0,4100,4270,359,2385,8051,2074
UNet,148,Case03,18,0.8602163142126923,0.7243171878867893,0.43621089586859757,-0.28810629201819177,HARM,1,0,4389,3078,263,3479,7820,1173
UNet,149,Case03,19,0.8690389375171234,0.7045805455481214,0.5370097523328422,-0.16757079321527923,HARM,1,0,4107,3293,151,3827,6168,431
UNet,150,Case03,20,0.7549113733775955,0.7193265269568332,0.4263355132632817,-0.2929910136935515,HARM,1,0,4016,2913,221,2901,6471,1336
UNet,151,Case03,21,0.8238081959030775,0.6500539762504498,0.21147748890298035,-0.43857648734746946,HARM,1,0,3613,3557,333,1334,7336,2612
UNet,152,Case03,22,0.809522675650072,0.5879470847623713,0.029451363177381354,-0.55849572158499,HARM,1,0,3000,3399,806,175,7903,3631
UNet,153,Case03,23,0.8225316467068089,0.4115444994565874,0.15739484396200815,-0.25414965549457924,HARM,1,0,1704,3025,1848,870,6633,2682
UNet,154,Case03,24,0.4444316882227423,0.0,0.0,0.0,NEUTRAL,0,0,0,1390,0,0,5773,0
